conv_id,msg_idx,latency_ms,is_merge
conv_01,0,0.6444,false
conv_01,1,0.0549,false
conv_01,2,0.0265,false
conv_01,3,0.0325,false
conv_01,4,0.0101,false
conv_01,5,0.0110,false
conv_01,6,0.0446,false
conv_01,7,0.0103,false
conv_01,8,0.0215,false
conv_01,9,0.0359,false
conv_01,10,0.0267,false
conv_01,11,0.0265,false
conv_01,12,0.0225,false
conv_01,13,0.0732,false
conv_01,14,0.0669,false
conv_01,15,0.0479,false
conv_01,16,0.0659,false
conv_01,17,0.0509,false
conv_01,18,0.0646,false
conv_01,19,0.0663,false
conv_01,20,0.0880,false
conv_01,21,0.0306,false
conv_01,22,0.0336,false
conv_01,23,0.0336,false
conv_01,24,0.3908,false
conv_01,25,0.0278,false
conv_01,26,0.1086,false
conv_01,27,0.0949,false
conv_01,28,0.0690,false
conv_01,29,0.0702,false
conv_01,30,0.2055,false
conv_01,31,0.1648,false
conv_01,32,0.0962,false
conv_01,33,0.1053,false
conv_01,34,0.1957,false
conv_01,35,0.4261,false
conv_01,36,0.2450,false
conv_01,37,0.1349,false
conv_01,38,0.1295,false
conv_01,39,0.2844,false
conv_01,40,843.6599,true
conv_01,41,732.1747,true
conv_01,42,1486.4684,true
conv_01,43,1536.0123,true
conv_01,44,1417.0428,true
conv_01,45,1653.1934,true
conv_01,46,1539.9902,true
conv_01,47,1775.9933,true
conv_01,48,1803.1903,true
conv_01,49,1795.1925,true
conv_01,50,1992.6689,true
conv_01,51,2026.5129,true
conv_01,52,928.0640,true
conv_01,53,1961.3903,true
conv_01,54,776.7867,true
conv_01,55,965.7212,true
conv_01,56,1016.5266,true
conv_01,57,2395.1131,true
conv_01,58,1802.8986,true
conv_01,59,2095.0981,true
conv_01,60,2135.3986,true
conv_01,61,1959.9302,true
conv_01,62,3245.1114,true
conv_01,63,2277.9777,true
conv_01,64,736.8432,true
conv_01,65,2419.7599,true
conv_01,66,2233.2731,true
conv_01,67,2871.7213,true
conv_01,68,1179.5523,true
conv_01,69,1512.5876,true
conv_01,70,1270.8342,true
conv_01,71,2348.4245,true
conv_01,72,2023.8973,true
conv_01,73,1816.0324,true
conv_01,74,1728.3415,true
conv_01,75,2252.6482,true
conv_01,76,1958.9921,true
conv_01,77,2341.4692,true
conv_01,78,1330.0451,true
conv_01,79,2457.9876,true
conv_01,80,2029.4753,true
conv_01,81,2446.0252,true
conv_01,82,2230.8455,true
conv_01,83,2278.2245,true
conv_01,84,2124.8233,true
conv_01,85,2849.4892,true
conv_01,86,2219.6220,true
conv_01,87,2463.7823,true
conv_01,88,3819.7719,true
conv_01,89,2830.2073,true
conv_01,90,3041.9285,true
conv_01,91,4109.0005,true
conv_01,92,2431.1077,true
conv_01,93,1320.3201,true
conv_01,94,1995.7398,true
conv_01,95,2205.3655,true
conv_01,96,2042.5035,true
conv_01,97,1720.4956,true
conv_01,98,2304.3468,true
conv_01,99,3139.6667,true
conv_01,100,2273.3284,true
conv_01,101,2217.3534,true
conv_01,102,2127.1940,true
conv_01,103,2251.3675,true
conv_01,104,1842.3234,true
conv_01,105,2559.7697,true
conv_01,106,2436.0146,true
conv_01,107,1962.3500,true
conv_01,108,2054.2399,true
conv_01,109,1946.2831,true
conv_01,110,1944.8703,true
conv_01,111,2047.7641,true
conv_01,112,1551.5739,true
conv_01,113,2177.2478,true
conv_01,114,2366.7114,true
conv_01,115,2300.4240,true
conv_01,116,2249.9823,true
conv_01,117,2670.3320,true
conv_01,118,2455.7398,true
conv_01,119,2349.0917,true
conv_02,0,0.0983,false
conv_02,1,0.0580,false
conv_02,2,0.0427,false
conv_02,3,0.0445,false
conv_02,4,0.0544,false
conv_02,5,0.0418,false
conv_02,6,0.0068,false
conv_02,7,0.0271,false
conv_02,8,0.0532,false
conv_02,9,0.0329,false
conv_02,10,0.0349,false
conv_02,11,0.0215,false
conv_02,12,0.0269,false
conv_02,13,0.0056,false
conv_02,14,0.0487,false
conv_02,15,0.5890,false
conv_02,16,0.0614,false
conv_02,17,0.0354,false
conv_02,18,0.0513,false
conv_02,19,0.0362,false
conv_02,20,0.0392,false
conv_02,21,0.0226,false
conv_02,22,0.0129,false
conv_02,23,0.0253,false
conv_02,24,0.0287,false
conv_02,25,0.0496,false
conv_02,26,0.0523,false
conv_02,27,0.0501,false
conv_02,28,0.0185,false
conv_02,29,0.0427,false
conv_02,30,0.0403,false
conv_02,31,0.0570,false
conv_02,32,0.0396,false
conv_02,33,0.0397,false
conv_02,34,0.0464,false
conv_02,35,0.0563,false
conv_02,36,0.0437,false
conv_02,37,0.3859,false
