conv_id,msg_idx,latency_ms
conv_01,0,0.602584
conv_01,1,0.081958
conv_01,2,0.029000
conv_01,3,0.056291
conv_01,4,0.012625
conv_01,5,0.009291
conv_01,6,0.038500
conv_01,7,0.009541
conv_01,8,0.022958
conv_01,9,0.038583
conv_01,10,0.027667
conv_01,11,0.025792
conv_01,12,0.022125
conv_01,13,0.037166
conv_01,14,0.056667
conv_01,15,0.042083
conv_01,16,0.063166
conv_01,17,0.048917
conv_01,18,0.064209
conv_01,19,0.070500
conv_01,20,0.125375
conv_01,21,0.028625
conv_01,22,0.034333
conv_01,23,0.031917
conv_01,24,0.528709
conv_01,25,0.039917
conv_01,26,0.192958
conv_01,27,0.160583
conv_01,28,0.192875
conv_01,29,0.106041
conv_01,30,0.245791
conv_01,31,0.321333
conv_01,32,0.537792
conv_01,33,0.130083
conv_01,34,0.147166
conv_01,35,0.322792
conv_01,36,0.703541
conv_01,37,0.608292
conv_01,38,0.667042
conv_01,39,0.595125
conv_01,40,0.688375
conv_01,41,0.596125
conv_01,42,0.111667
conv_01,43,0.256916
conv_01,44,0.101833
conv_01,45,0.123125
conv_01,46,0.103208
conv_01,47,0.114750
conv_01,48,0.083000
conv_01,49,0.186375
conv_01,50,0.108417
conv_01,51,0.118375
conv_01,52,0.125875
conv_01,53,0.122000
conv_01,54,0.122500
conv_01,55,0.133250
conv_01,56,0.202083
conv_01,57,0.135750
conv_01,58,0.104833
conv_01,59,0.126709
conv_01,60,0.109542
conv_01,61,0.112459
conv_01,62,0.104000
conv_01,63,0.127917
conv_01,64,0.215625
conv_01,65,0.126250
conv_01,66,0.134333
conv_01,67,0.120125
conv_01,68,0.144375
conv_01,69,0.133292
conv_01,70,0.113333
conv_01,71,0.194792
conv_01,72,0.153292
conv_01,73,0.125625
conv_01,74,0.161833
conv_01,75,0.176042
conv_01,76,0.133792
conv_01,77,0.288833
conv_01,78,0.158792
conv_01,79,0.156833
conv_01,80,0.139917
conv_01,81,0.130625
conv_01,82,0.168083
conv_01,83,0.223750
conv_01,84,0.168167
conv_01,85,0.170250
conv_01,86,0.179375
conv_01,87,0.196375
conv_01,88,0.329458
conv_01,89,0.166250
conv_01,90,0.194375
conv_01,91,0.144375
conv_01,92,0.154917
conv_01,93,0.155667
conv_01,94,0.169125
conv_01,95,0.168334
conv_01,96,0.151166
conv_01,97,0.161959
conv_01,98,0.176208
conv_01,99,0.172125
conv_01,100,0.300334
conv_01,101,0.188541
conv_01,102,0.158459
conv_01,103,0.155833
conv_01,104,0.159042
conv_01,105,0.183500
conv_01,106,0.176958
conv_01,107,0.217500
conv_01,108,0.212709
conv_01,109,0.193750
conv_01,110,0.224750
conv_01,111,0.329584
conv_01,112,0.200417
conv_01,113,0.172792
conv_01,114,0.201666
conv_01,115,0.203042
conv_01,116,0.194209
conv_01,117,0.170250
conv_01,118,0.174459
conv_01,119,0.189458
conv_02,0,0.095459
conv_02,1,0.047667
conv_02,2,0.038000
conv_02,3,0.035708
conv_02,4,0.938291
conv_02,5,0.053208
conv_02,6,0.008209
conv_02,7,0.019208
conv_02,8,0.049458
conv_02,9,0.032792
conv_02,10,0.032250
conv_02,11,0.020000
conv_02,12,0.025416
conv_02,13,0.004833
conv_02,14,0.049125
conv_02,15,0.048041
conv_02,16,0.053125
conv_02,17,0.034750
conv_02,18,0.047458
conv_02,19,0.035083
conv_02,20,0.040042
conv_02,21,0.022583
conv_02,22,0.011708
conv_02,23,0.023208
conv_02,24,0.028916
conv_02,25,0.048417
conv_02,26,0.060000
conv_02,27,0.068000
conv_02,28,0.035125
conv_02,29,0.381625
conv_02,30,0.071000
conv_02,31,0.063875
conv_02,32,0.049875
conv_02,33,0.052167
conv_02,34,0.060500
conv_02,35,0.078125
conv_02,36,0.152750
conv_02,37,0.196042
conv_02,38,0.164333
conv_02,39,0.331084
conv_02,40,0.149250
conv_02,41,0.210333
conv_02,42,0.175209
conv_02,43,0.145250
conv_02,44,0.163250
conv_02,45,0.188208
conv_02,46,0.331125
conv_02,47,0.189458
conv_02,48,0.191708
conv_02,49,0.198542
conv_02,50,0.203000
conv_02,51,0.204250
conv_02,52,0.208708
conv_02,53,0.218958
conv_02,54,0.379833
conv_02,55,0.207583
conv_02,56,0.215167
conv_02,57,0.216708
conv_02,58,0.183917
conv_02,59,0.226166
conv_02,60,0.199834
conv_02,61,0.333666
conv_02,62,0.220459
conv_02,63,0.230166
conv_02,64,0.230292
conv_02,65,0.268375
conv_02,66,0.210000
conv_02,67,0.200667
conv_02,68,0.202750
conv_02,69,0.178542
conv_02,70,0.286042
conv_02,71,0.198166
conv_02,72,0.205042
conv_02,73,0.203000
conv_02,74,0.200125
conv_02,75,0.214334
conv_02,76,0.181041
conv_02,77,0.208459
conv_02,78,0.209834
conv_02,79,0.334333
conv_02,80,0.213291
conv_02,81,0.217625
conv_02,82,0.206791
conv_02,83,0.215292
conv_02,84,0.209917
conv_02,85,0.194041
conv_02,86,0.212875
conv_02,87,0.230541
conv_02,88,0.304000
conv_02,89,0.209916
conv_02,90,0.203833
conv_02,91,0.205625
conv_02,92,0.224917
conv_02,93,0.230583
conv_02,94,0.192958
conv_02,95,0.207958
conv_02,96,0.196541
conv_02,97,0.347250
conv_02,98,0.261417
conv_02,99,0.229500
conv_02,100,0.224375
conv_02,101,0.221083
conv_02,102,0.198417
conv_02,103,0.240584
conv_02,104,0.235750
conv_02,105,0.358000
conv_02,106,0.225250
conv_02,107,0.242917
conv_02,108,0.214708
conv_02,109,0.216083
conv_02,110,0.218292
conv_02,111,0.215416
conv_02,112,0.240708
conv_02,113,0.484625
conv_02,114,0.218000
conv_02,115,0.215667
conv_02,116,0.228458
conv_02,117,0.219583
conv_02,118,0.223291
conv_02,119,0.223708
conv_03,0,0.070333
conv_03,1,0.053125
conv_03,2,0.036500
conv_03,3,0.038958
conv_03,4,0.040500
conv_03,5,0.041083
conv_03,6,0.042583
conv_03,7,0.051083
conv_03,8,0.037708
conv_03,9,0.019500
conv_03,10,0.040709
conv_03,11,0.037958
conv_03,12,0.035875
conv_03,13,0.025125
conv_03,14,0.038208
conv_03,15,0.036667
conv_03,16,0.039959
conv_03,17,0.014958
conv_03,18,0.040250
conv_03,19,0.014625
conv_03,20,0.057083
conv_03,21,0.037750
conv_03,22,0.037333
conv_03,23,0.041084
conv_03,24,0.023250
conv_03,25,0.440000
conv_03,26,0.060541
conv_03,27,0.056625
conv_03,28,0.048959
conv_03,29,0.048500
conv_03,30,0.059083
conv_03,31,0.064792
conv_03,32,0.070250
conv_03,33,0.055250
conv_03,34,0.085000
conv_03,35,0.069875
conv_03,36,0.481667
conv_03,37,0.206000
conv_03,38,0.218625
conv_03,39,0.165292
conv_03,40,0.228791
conv_03,41,0.411334
conv_03,42,0.186417
conv_03,43,0.157125
conv_03,44,0.185958
conv_03,45,0.269541
conv_03,46,0.199000
conv_03,47,0.173833
conv_03,48,0.170166
conv_03,49,0.186375
conv_03,50,0.270416
conv_03,51,0.157834
conv_03,52,0.171875
conv_03,53,0.176292
conv_03,54,0.205166
conv_03,55,0.212375
conv_03,56,0.324542
conv_03,57,0.208375
conv_03,58,0.230500
conv_03,59,0.235291
conv_03,60,0.317291
conv_03,61,0.214291
conv_03,62,0.239042
conv_03,63,0.230583
conv_03,64,0.285250
conv_03,65,0.231208
conv_03,66,0.412042
conv_03,67,0.232625
conv_03,68,0.225792
conv_03,69,0.200083
conv_03,70,0.215042
conv_03,71,0.217542
conv_03,72,0.356125
conv_03,73,0.230542
conv_03,74,0.236416
conv_03,75,0.216500
conv_03,76,0.225542
conv_03,77,0.312083
conv_03,78,0.234000
conv_03,79,0.238667
conv_03,80,0.242791
conv_03,81,0.241083
conv_03,82,0.249916
conv_03,83,0.318125
conv_03,84,0.230416
conv_03,85,0.251292
conv_03,86,0.243792
conv_03,87,0.252375
conv_03,88,0.355708
conv_03,89,0.253250
conv_03,90,0.234167
conv_03,91,0.254250
conv_03,92,0.254375
conv_03,93,0.251459
conv_03,94,0.334209
conv_03,95,0.250583
conv_03,96,0.257042
conv_03,97,0.261500
conv_03,98,0.254834
conv_03,99,0.229125
conv_03,100,0.320084
conv_03,101,0.213125
conv_03,102,0.230250
conv_03,103,0.238459
conv_03,104,0.241250
conv_03,105,0.239708
conv_03,106,0.352791
conv_03,107,0.233042
conv_03,108,0.253042
conv_03,109,0.249125
conv_03,110,0.250458
conv_03,111,0.256750
conv_03,112,0.430709
conv_03,113,0.257125
conv_03,114,0.253209
conv_03,115,0.258291
conv_03,116,0.254875
conv_03,117,0.269833
conv_03,118,0.269375
conv_03,119,0.262208
conv_04,0,0.062875
conv_04,1,0.014667
conv_04,2,0.021375
